region,state,site_name,site_id,epa_id,address,city,zip,county,ff,lattude,longitude,final_date
8,CO,AIR FORCE PLANT PJKS,800359,CO7570090038,12275 SOUTH HIGHWAY 75,LITTLETON,80127,JEFFERSON,Y,39.508686,-105.128965,1989-11-21
8,CO,BONITA PEAK MINING DISTRICT,802497,CON000802497,Multiple sources near Animas River headwaters,UNINCORPORATED,81433,SAN JUAN,N,37.904037,-107.61663,2016-09-09
8,CO,BRODERICK WOOD PRODUCTS,800030,COD000110254,5600 HURON ST,DENVER,80221,ADAMS,N,39.803684,-104.998554,1984-09-21
8,CO,CALIFORNIA GULCH,801478,COD980717938,S OF CY-YAK TUNNEL DOWNSTREAM,LEADVILLE,80461,LAKE,N,39.231279,-106.295522,1983-09-08
8,CO,CAPTAIN JACK MILL,800892,COD981551427,"T1N R73 W, SE 1/4 SEC. 12",WARD,80481,BOULDER,N,40.061319,-105.507611,2003-09-29
8,CO,"CENTRAL CITY, CLEAR CREEK",800257,COD980717557,NEAR TOWN,IDAHO SPRINGS,80452,CLEAR CREEK,N,39.77182,-105.51817,1983-09-08
8,CO,CHEMICAL SALES CO.,800866,COD007431620,4661 MONACO ST.,DENVER,80216,DENVER,N,39.822695,-104.911952,1990-08-30
8,CO,COLORADO SMELTER,802700,CON000802700,INTERSTATE 25 AND SANTA FE AVENUE,PUEBLO,81006,PUEBLO,N,38.249106,-104.60801,2014-12-11
8,CO,DENVER RADIUM SITE,800247,COD980716955,VARIOUS PLACES IN DENVER,DENVER,80204,DENVER,N,39.716519,-105.005441,1983-09-08
8,CO,EAGLE MINE,800159,COD081961518,W OF US HWY 24,MINTURN,81645,EAGLE,N,39.549005,-106.402863,1986-06-10
8,CO,LINCOLN PARK,800115,COD042167858,2 MI S OF CANON CY,CANON CITY,81212,FREMONT,N,38.405864,-105.219379,1984-09-21
8,CO,LOWRY LANDFILL,800186,COD980499248,4200 S GUN CLUB RD,UNINCORPORATED ARAPAHOE COUNTY,80018,ARAPAHOE,N,39.646081,-104.709141,1984-09-21
8,CO,MARSHALL LANDFILL,800187,COD980499255,1600 S 66TH STREET,BOULDER,80303,BOULDER,N,39.950304,-105.20126,1983-09-08
8,CO,NELSON TUNNEL/COMMODORE WASTE ROCK,802630,CON000802630,NATIONAL FOREST ROAD 503.4 1 MILE N. OF TOWN,Creede,81130,MINERAL,N,37.877852,-106.936723,2008-09-03
8,CO,ROCKY FLATS PLANT (USDOE),800360,CO7890010526,HWY 93 BETWEEN GOLDEN&BOULDER,GOLDEN,80402,JEFFERSON,Y,39.892897,-105.1996,1989-10-04
8,CO,ROCKY MOUNTAIN ARSENAL (USARMY),800357,CO5210020769,IMMED N STAPLETON INTL ARPT,ADAMS COUNTY,80022,ADAMS,Y,39.833398,-104.842445,1987-07-22
8,CO,STANDARD MINE,801669,CO0002378230,"COUNTY ROAD 12, RUBY MINING DISITRICT",GUNNISON NATIONAL FOREST,81224,GUNNISON,N,38.880894,-107.072129,2005-09-14
8,CO,SUMMITVILLE MINE,801194,COD983778432,Postal Address is unavailable for the Site,RIO GRANDE COUNTY,81132,RIO GRANDE,N,37.423917,-106.598491,1994-05-31
8,CO,URAVAN URANIUM PROJECT (UNION CARBIDE CORP.),800076,COD007063274,NEAR URAVAN ON HWY 141,URAVAN,81422,MONTROSE,N,38.369015,-108.747527,1986-06-10
8,CO,VASQUEZ BOULEVARD AND I-70,801646,CO0002259588,VASQUEZ BOULEVARD AND 1-70,DENVER,80216,DENVER,N,39.791667,-104.958333,1999-07-22
